2022-05-20 14:05:278 INFO  HomePage :66 - Select distance up to 5 miles from distsance dropdown [[ChromeDriver: chrome on WINDOWS (0ad0cc3dbb09d71cb401e08b59f1bc9b)] -> xpath: //select[@id='distance']]<br>
2022-05-20 14:05:656 INFO  HomePage :70 - Click on more search option [[ChromeDriver: chrome on WINDOWS (0ad0cc3dbb09d71cb401e08b59f1bc9b)] -> xpath: //button[@id='toggle-hp-search']]<br>
2022-05-20 14:05:72 INFO  HomePage :74 - Enter min Salary 30000 to minimum salary field [[ChromeDriver: chrome on WINDOWS (0ad0cc3dbb09d71cb401e08b59f1bc9b)] -> xpath: //input[@id='salarymin']]<br>
2022-05-20 14:05:211 INFO  HomePage :78 - Enter max Salary 50000 to maximum salary field [[ChromeDriver: chrome on WINDOWS (0ad0cc3dbb09d71cb401e08b59f1bc9b)] -> xpath: //input[@id='salarymax']]<br>
2022-05-20 14:05:340 INFO  HomePage :82 - Select Salary Type Per annum from salary type dropdown [[ChromeDriver: chrome on WINDOWS (0ad0cc3dbb09d71cb401e08b59f1bc9b)] -> xpath: //select[@id='salarytype']]<br>
2022-05-20 14:05:430 INFO  HomePage :86 - Select Job Type Permanent from job type dropdown [[ChromeDriver: chrome on WINDOWS (0ad0cc3dbb09d71cb401e08b59f1bc9b)] -> xpath: //select[@id='tempperm']]<br>
2022-05-20 14:05:593 INFO  HomePage :54 - Click on find job button : 
2022-05-20 14:05:217 INFO  ResultPage :26 - Get text of find job result[[ChromeDriver: chrome on WINDOWS (0ad0cc3dbb09d71cb401e08b59f1bc9b)] -> tag name: h1]<br>
2022-05-20 15:05:763 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 15:05:918 INFO  HomePage :49 - Click on accept cookies : [[ChromeDriver: chrome on WINDOWS (217d0c8ac47ddd80aae66577d56dc54f)] -> xpath: //iframe[@id='gdpr-consent-notice']]Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='save']'
2022-05-20 15:05:252 INFO  HomePage :58 - Enter job title into the tab: 
2022-05-20 15:05:593 INFO  HomePage :62 - Enter your location into the tab : 
2022-05-20 15:05:869 INFO  HomePage :66 - Select distance up to 15 miles from distsance dropdown [[ChromeDriver: chrome on WINDOWS (217d0c8ac47ddd80aae66577d56dc54f)] -> xpath: //select[@id='distance']]<br>
